Crate Id,Crate Name,Crate Version,Homepage,Documentation,Repository
65,semver-parser,v0.10.2,https://github.com/steveklabnik/semver-parser,https://docs.rs/semver-parser,https://github.com/steveklabnik/semver-parser
66,crossbeam-epoch,v0.9.6,https://github.com/crossbeam-rs/crossbeam/tree/master/crossbeam-epoch, ,https://github.com/crossbeam-rs/crossbeam
67,pin-project-lite,v0.2.8, , ,https://github.com/taiki-e/pin-project-lite
68,block-buffer,v0.10.0, ,https://docs.rs/block-buffer,https://github.com/RustCrypto/utils
69,memoffset,v0.6.5, , ,https://github.com/Gilnaa/memoffset
70,hyper,v0.14.16,https://hyper.rs/,https://docs.rs/hyper,https://github.com/hyperium/hyper
71,matches,v0.1.9, ,https://docs.rs/matches/,https://github.com/SimonSapin/rust-std-candidates
72,rustc_version,v0.4.0, ,https://docs.rs/rustc_version/,https://github.com/Kimundi/rustc-version-rs
73,once_cell,v1.9.0, ,https://docs.rs/once_cell,https://github.com/matklad/once_cell
74,pkg-config,v0.3.24, ,https://docs.rs/pkg-config,https://github.com/rust-lang/pkg-config-rs
75,unicode-bidi,v0.3.7, ,https://docs.rs/unicode-bidi/,https://github.com/servo/unicode-bidi
76,hashbrown,v0.11.2, , ,https://github.com/rust-lang/hashbrown
77,vec_map,v0.8.2,https://github.com/contain-rs/vec-map,https://contain-rs.github.io/vec-map/vec_map,https://github.com/contain-rs/vec-map
78,backtrace,v0.3.63,https://github.com/rust-lang/backtrace-rs,https://docs.rs/backtrace,https://github.com/rust-lang/backtrace-rs
79,proc-macro-hack,v0.5.19, , ,https://github.com/dtolnay/proc-macro-hack
80,crossbeam-deque,v0.8.1,https://github.com/crossbeam-rs/crossbeam/tree/master/crossbeam-deque,https://docs.rs/crossbeam-deque,https://github.com/crossbeam-rs/crossbeam
81,typenum,v1.15.0, ,https://docs.rs/typenum,https://github.com/paholg/typenum
82,toml,v0.5.8,https://github.com/alexcrichton/toml-rs,https://docs.rs/toml,https://github.com/alexcrichton/toml-rs
83,arrayvec,v0.7.2, ,https://docs.rs/arrayvec/,https://github.com/bluss/arrayvec
84,opaque-debug,v0.3.0, ,https://docs.rs/opaque-debug,https://github.com/RustCrypto/utils
85,miniz_oxide,v0.5.1,https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide,https://docs.rs/miniz_oxide,https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
86,rand_hc,v0.3.1,https://rust-random.github.io/book,https://docs.rs/rand_hc,https://github.com/rust-random/rand
87,rustc-demangle,v0.1.21,https://github.com/alexcrichton/rustc-demangle,https://docs.rs/rustc-demangle,https://github.com/alexcrichton/rustc-demangle
88,unicode-segmentation,v1.8.0,https://github.com/unicode-rs/unicode-segmentation,https://unicode-rs.github.io/unicode-segmentation,https://github.com/unicode-rs/unicode-segmentation
89,http,v0.2.6, ,https://docs.rs/http,https://github.com/hyperium/http
90,termcolor,v1.1.2,https://github.com/BurntSushi/termcolor,https://docs.rs/termcolor,https://github.com/BurntSushi/termcolor
91,crossbeam-channel,v0.5.2,https://github.com/crossbeam-rs/crossbeam/tree/master/crossbeam-channel, ,https://github.com/crossbeam-rs/crossbeam
92,httparse,v1.5.1, ,https://docs.rs/httparse,https://github.com/seanmonstar/httparse
93,socket2,v0.4.2,https://github.com/rust-lang/socket2,https://docs.rs/socket2,https://github.com/rust-lang/socket2
94,humantime,v2.1.0,https://github.com/tailhook/humantime,https://docs.rs/humantime,https://github.com/tailhook/humantime
95,pin-project,v1.0.10, , ,https://github.com/taiki-e/pin-project
96,pin-project-internal,v1.0.10, , ,https://github.com/taiki-e/pin-project
97,h2,v0.3.10, ,https://docs.rs/h2,https://github.com/hyperium/h2
98,futures-core,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
99,quick-error,v2.0.1,http://github.com/tailhook/quick-error,http://docs.rs/quick-error,http://github.com/tailhook/quick-error
100,heck,v0.4.0,https://github.com/withoutboats/heck,https://docs.rs/heck,https://github.com/withoutboats/heck
101,futures-util,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
102,futures-task,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
103,futures-channel,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
104,futures-sink,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
105,mime,v0.3.16, ,https://docs.rs/mime,https://github.com/hyperium/mime
106,thiserror,v1.0.30, ,https://docs.rs/thiserror,https://github.com/dtolnay/thiserror
107,thiserror-impl,v1.0.30, , ,https://github.com/dtolnay/thiserror
108,futures-io,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
109,remove_dir_all,v0.7.0, , ,https://github.com/XAMPPRocky/remove_dir_all.git
110,nom,v7.1.0, ,https://docs.rs/nom,https://github.com/Geal/nom
111,openssl-sys,v0.9.72, , ,https://github.com/sfackler/rust-openssl
112,anyhow,v1.0.52, ,https://docs.rs/anyhow,https://github.com/dtolnay/anyhow
113,nix,v0.23.1, , ,https://github.com/nix-rust/nix
114,http-body,v0.4.4, ,https://docs.rs/http-body,https://github.com/hyperium/http-body
115,pin-utils,v0.1.0, ,https://docs.rs/pin-utils,https://github.com/rust-lang-nursery/pin-utils
116,crc32fast,v1.3.0, , ,https://github.com/srijs/rust-crc32fast
117,tempfile,v3.3.0,http://stebalien.com/projects/tempfile-rs,https://docs.rs/tempfile,https://github.com/Stebalien/tempfile
118,unicase,v2.6.0, ,https://docs.rs/unicase,https://github.com/seanmonstar/unicase
119,uuid,v0.8.2,https://github.com/uuid-rs/uuid,https://docs.rs/uuid,https://github.com/uuid-rs/uuid
120,walkdir,v2.3.2,https://github.com/BurntSushi/walkdir,https://docs.rs/walkdir/,https://github.com/BurntSushi/walkdir
121,want,v0.3.0, ,https://docs.rs/want,https://github.com/seanmonstar/want
122,flate2,v1.0.22,https://github.com/rust-lang/flate2-rs,https://docs.rs/flate2,https://github.com/rust-lang/flate2-rs
123,futures-macro,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
124,instant,v0.1.12, , ,https://github.com/sebcrozet/instant
125,hex,v0.4.3, ,https://docs.rs/hex/,https://github.com/KokaKiwi/rust-hex
126,serde_urlencoded,v0.7.0, ,https://docs.rs/serde_urlencoded/0.7.0/serde_urlencoded/,https://github.com/nox/serde_urlencoded
127,synstructure,v0.12.6, ,https://docs.rs/synstructure,https://github.com/mystor/synstructure
128,same-file,v1.0.6,https://github.com/BurntSushi/same-file,https://docs.rs/same-file,https://github.com/BurntSushi/same-file
129,tinyvec,v1.5.1, , ,https://github.com/Lokathor/tinyvec
130,tokio-util,v0.6.9,https://tokio.rs/,https://docs.rs/tokio-util/0.6.9/tokio_util,https://github.com/tokio-rs/tokio
131,net2,v0.2.37,https://github.com/deprecrated/net2-rs,https://docs.rs/net2/~0.2,https://github.com/deprecrated/net2-rs
132,openssl,v0.10.38, , ,https://github.com/sfackler/rust-openssl
133,sha2,v0.10.1, ,https://docs.rs/sha2,https://github.com/RustCrypto/hashes
134,tracing,v0.1.29,https://tokio.rs/, ,https://github.com/tokio-rs/tracing
135,futures-executor,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
136,glob,v0.3.0,https://github.com/rust-lang/glob,https://docs.rs/glob/0.3.0,https://github.com/rust-lang/glob
137,dtoa,v1.0.2, ,https://docs.rs/dtoa,https://github.com/dtolnay/dtoa
138,try-lock,v0.2.3,https://github.com/seanmonstar/try-lock,https://docs.rs/try-lock,https://github.com/seanmonstar/try-lock
139,linked-hash-map,v0.5.4,https://github.com/contain-rs/linked-hash-map,https://docs.rs/linked-hash-map,https://github.com/contain-rs/linked-hash-map
140,rand_pcg,v0.3.1,https://rust-random.github.io/book,https://docs.rs/rand_pcg,https://github.com/rust-random/rand
141,tracing-core,v0.1.21,https://tokio.rs/, ,https://github.com/tokio-rs/tracing
142,iovec,v0.1.4,https://github.com/carllerche/iovec,https://docs.rs/iovec,https://github.com/carllerche/iovec
143,proc-macro-nested,v0.1.7, , ,https://github.com/dtolnay/proc-macro-hack
144,rayon,v1.5.1, ,https://docs.rs/rayon/,https://github.com/rayon-rs/rayon
145,redox_syscall,v0.2.10, ,https://docs.rs/redox_syscall,https://gitlab.redox-os.org/redox-os/syscall
146,num-bigint,v0.4.3,https://github.com/rust-num/num-bigint,https://docs.rs/num-bigint,https://github.com/rust-num/num-bigint
147,rayon-core,v1.9.1, ,https://docs.rs/rayon/,https://github.com/rayon-rs/rayon
148,foreign-types,v0.5.0, , ,https://github.com/sfackler/foreign-types
149,encoding_rs,v0.8.30,https://docs.rs/encoding_rs/,https://docs.rs/encoding_rs/,https://github.com/hsivonen/encoding_rs
150,adler,v1.0.2, ,https://docs.rs/adler/,https://github.com/jonas-schievink/adler.git
151,sha-1,v0.10.0, ,https://docs.rs/sha-1,https://github.com/RustCrypto/hashes
152,openssl-probe,v0.1.4,https://github.com/alexcrichton/openssl-probe, ,https://github.com/alexcrichton/openssl-probe
153,foreign-types-shared,v0.3.0, , ,https://github.com/sfackler/foreign-types
154,object,v0.28.2, , ,https://github.com/gimli-rs/object
155,reqwest,v0.11.8, ,https://docs.rs/reqwest,https://github.com/seanmonstar/reqwest
156,crypto-mac,v0.11.1, ,https://docs.rs/crypto-mac,https://github.com/RustCrypto/traits
157,tokio-macros,v1.7.0,https://tokio.rs/, ,https://github.com/tokio-rs/tokio
158,addr2line,v0.17.0, ,https://docs.rs/addr2line,https://github.com/gimli-rs/addr2line
159,tower-service,v0.3.1,https://github.com/tower-rs/tower,https://docs.rs/tower-service/0.3.1,https://github.com/tower-rs/tower
160,wasi,v0.10.2+wasi-snapshot-preview1, ,https://docs.rs/wasi,https://github.com/bytecodealliance/wasi
161,gimli,v0.26.1, ,https://docs.rs/gimli,https://github.com/gimli-rs/gimli
162,crossbeam-queue,v0.3.3,https://github.com/crossbeam-rs/crossbeam/tree/master/crossbeam-queue, ,https://github.com/crossbeam-rs/crossbeam
163,dirs,v4.0.0, , ,https://github.com/soc/dirs-rs
164,signal-hook-registry,v1.4.0, ,https://docs.rs/signal-hook-registry,https://github.com/vorner/signal-hook
165,proc-macro-error,v1.0.4, , ,https://gitlab.com/CreepySkeleton/proc-macro-error
166,winapi-x86_64-pc-windows-gnu,v0.4.0, , ,https://github.com/retep998/winapi-rs
167,native-tls,v0.2.8, , ,https://github.com/sfackler/rust-native-tls
168,miow,v0.4.0,https://github.com/yoshuawuyts/miow,https://docs.rs/miow/0.3/x86_64-pc-windows-msvc/miow/,https://github.com/yoshuawuyts/miow
169,winapi-i686-pc-windows-gnu,v0.4.0, , ,https://github.com/retep998/winapi-rs
170,subtle,v2.4.1,https://dalek.rs/,https://docs.rs/subtle,https://github.com/dalek-cryptography/subtle
171,proc-macro-error-attr,v1.0.4, , ,https://gitlab.com/CreepySkeleton/proc-macro-error
172,block-padding,v0.2.1, ,https://docs.rs/block-padding,https://github.com/RustCrypto/utils
173,failure,v0.1.8,https://rust-lang-nursery.github.io/failure/,https://docs.rs/failure,https://github.com/rust-lang-nursery/failure
174,byte-tools,v0.3.1, ,https://docs.rs/byte-tools,https://github.com/RustCrypto/utils
175,spin,v0.9.2, , ,https://github.com/mvdnes/spin-rs.git
176,rand_xorshift,v0.3.0,https://rust-random.github.io/book,https://docs.rs/rand_xorshift,https://github.com/rust-random/rngs
177,async-trait,v0.1.52, ,https://docs.rs/async-trait,https://github.com/dtolnay/async-trait
178,form_urlencoded,v1.0.1, , ,https://github.com/servo/rust-url
179,hyper-tls,v0.5.0,https://hyper.rs/,https://docs.rs/hyper-tls,https://github.com/hyperium/hyper-tls
180,bstr,v0.2.17,https://github.com/BurntSushi/bstr,https://docs.rs/bstr,https://github.com/BurntSushi/bstr
181,num-rational,v0.4.0,https://github.com/rust-num/num-rational,https://docs.rs/num-rational,https://github.com/rust-num/num-rational
182,ahash,v0.7.6, ,https://docs.rs/ahash,https://github.com/tkaitchuck/ahash
183,void,v1.0.2, , ,https://github.com/reem/rust-void.git
184,hmac,v0.12.0, ,https://docs.rs/hmac,https://github.com/RustCrypto/MACs
185,regex-automata,v0.1.10,https://github.com/BurntSushi/regex-automata,https://docs.rs/regex-automata,https://github.com/BurntSushi/regex-automata
186,failure_derive,v0.1.8,https://rust-lang-nursery.github.io/failure/,https://docs.rs/failure,https://github.com/rust-lang-nursery/failure
187,which,v4.2.2, ,https://docs.rs/which/,https://github.com/harryfei/which-rs.git
188,error-chain,v0.12.4, ,https://docs.rs/error-chain,https://github.com/rust-lang-nursery/error-chain
189,httpdate,v1.0.2, , ,https://github.com/pyfisch/httpdate
190,mime_guess,v2.0.3, ,https://docs.rs/mime_guess/,https://github.com/abonander/mime_guess
191,tinyvec_macros,v0.1.0, , ,https://github.com/Soveu/tinyvec_macros
192,stable_deref_trait,v1.2.0, ,https://docs.rs/stable_deref_trait/1.2.0/stable_deref_trait,https://github.com/storyyeller/stable_deref_trait
193,lazycell,v1.3.0, ,http://indiv0.github.io/lazycell/lazycell/,https://github.com/indiv0/lazycell
194,static_assertions,v1.1.0,https://github.com/nvzqz/static-assertions-rs,https://docs.rs/static_assertions/,https://github.com/nvzqz/static-assertions-rs
195,fake-simd,v0.1.2, ,https://docs.rs/fake-simd,https://github.com/RustCrypto/utils
196,yaml-rust,v0.4.5,http://chyh1990.github.io/yaml-rust/,https://docs.rs/yaml-rust,https://github.com/chyh1990/yaml-rust
197,num-iter,v0.1.42,https://github.com/rust-num/num-iter,https://docs.rs/num-iter,https://github.com/rust-num/num-iter
198,ring,v0.16.20, ,https://briansmith.org/rustdoc/ring/,https://github.com/briansmith/ring
199,structopt-derive,v0.4.18, ,https://docs.rs/structopt-derive,https://github.com/TeXitoi/structopt
200,structopt,v0.3.25, ,https://docs.rs/structopt,https://github.com/TeXitoi/structopt
201,maybe-uninit,v2.0.0, , ,https://github.com/est31/maybe-uninit
202,untrusted,v0.9.0, ,https://briansmith.org/rustdoc/untrusted/,https://github.com/briansmith/untrusted
203,fixedbitset,v0.4.1, ,https://docs.rs/fixedbitset/,https://github.com/petgraph/fixedbitset
204,num-complex,v0.4.0,https://github.com/rust-num/num-complex,https://docs.rs/num-complex,https://github.com/rust-num/num-complex
205,winapi-build,v0.1.1, , ,https://github.com/retep998/winapi-rs
206,term,v0.7.0,https://github.com/Stebalien/term,https://docs.rs/term/,https://github.com/Stebalien/term
207,pest,v2.1.3,https://pest-parser.github.io/,https://docs.rs/pest,https://github.com/pest-parser/pest
208,kernel32-sys,v0.2.2, ,https://retep998.github.io/doc/kernel32/,https://github.com/retep998/winapi-rs
209,paste,v1.0.6, , ,https://github.com/dtolnay/paste
210,filetime,v0.2.15,https://github.com/alexcrichton/filetime,https://docs.rs/filetime,https://github.com/alexcrichton/filetime
211,rand_os,v0.2.2,https://crates.io/crates/rand_os,https://docs.rs/rand_os,https://github.com/rust-random/rand
212,rand_isaac,v0.3.0,https://rust-random.github.io/book,https://docs.rs/rand_isaac,https://github.com/rust-random/rngs
213,petgraph,v0.6.0, ,https://docs.rs/petgraph/,https://github.com/petgraph/petgraph
214,siphasher,v0.3.7,https://docs.rs/siphasher,https://docs.rs/siphasher,https://github.com/jedisct1/rust-siphash
215,winapi-util,v0.1.5,https://github.com/BurntSushi/winapi-util,https://docs.rs/winapi-util,https://github.com/BurntSushi/winapi-util
216,utf8-ranges,v1.0.4,https://github.com/BurntSushi/utf8-ranges,https://docs.rs/utf8-ranges,https://github.com/BurntSushi/utf8-ranges
217,libloading,v0.7.2, ,https://docs.rs/libloading/,https://github.com/nagisa/rust_libloading/
218,num,v0.4.0,https://github.com/rust-num/num,https://docs.rs/num,https://github.com/rust-num/num
219,tracing-attributes,v0.1.18,https://tokio.rs/, ,https://github.com/tokio-rs/tracing
220,adler32,v1.2.0, ,https://docs.rs/adler32/,https://github.com/remram44/adler32-rs
221,nodrop,v0.1.14, ,https://docs.rs/nodrop/,https://github.com/bluss/arrayvec
222,rustls,v0.20.2,https://github.com/rustls/rustls, ,https://github.com/rustls/rustls
223,hermit-abi,v0.2.0, ,https://hermitcore.github.io/rusty-hermit/hermit_abi,https://github.com/hermitcore/rusty-hermit
224,phf_shared,v0.10.0, , ,https://github.com/sfackler/rust-phf
225,scoped-tls,v1.0.0,https://github.com/alexcrichton/scoped-tls,https://docs.rs/scoped-tls,https://github.com/alexcrichton/scoped-tls
226,rand_jitter,v0.3.0, ,https://docs.rs/rand_jitter,https://github.com/rust-random/rngs
227,jobserver,v0.1.24,https://github.com/alexcrichton/jobserver-rs,https://docs.rs/jobserver,https://github.com/alexcrichton/jobserver-rs
228,ipnet,v2.3.1, ,https://docs.rs/ipnet,https://github.com/krisprice/ipnet
229,mio-uds,v0.6.8,https://github.com/deprecrated/mio-uds,https://docs.rs/mio-uds,https://github.com/deprecrated/mio-uds
230,libz-sys,v1.1.3, ,https://docs.rs/libz-sys,https://github.com/rust-lang/libz-sys
231,backtrace-sys,v0.1.37,https://github.com/alexcrichton/backtrace-rs,http://alexcrichton.com/backtrace-rs,https://github.com/alexcrichton/backtrace-rs
232,ucd-trie,v0.1.3,https://github.com/BurntSushi/ucd-generate,https://docs.rs/ucd-trie,https://github.com/BurntSushi/ucd-generate
233,bumpalo,v3.9.1, ,https://docs.rs/bumpalo,https://github.com/fitzgen/bumpalo
234,wasm-bindgen,v0.2.78,https://rustwasm.github.io/,https://docs.rs/wasm-bindgen,https://github.com/rustwasm/wasm-bindgen
235,bincode,v1.3.3, ,https://docs.rs/bincode,https://github.com/bincode-org/bincode
236,arc-swap,v1.5.0, ,https://docs.rs/arc-swap,https://github.com/vorner/arc-swap
237,wasm-bindgen-backend,v0.2.78,https://rustwasm.github.io/wasm-bindgen/,https://docs.rs/wasm-bindgen-backend,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/backend
238,wasm-bindgen-macro,v0.2.78,https://rustwasm.github.io/wasm-bindgen/,https://docs.rs/wasm-bindgen,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/macro
239,dirs-sys,v0.3.6, , ,https://github.com/dirs-dev/dirs-sys-rs
240,wasm-bindgen-macro-support,v0.2.78,https://rustwasm.github.io/wasm-bindgen/,https://docs.rs/wasm-bindgen,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/macro-support
241,derive_more,v0.99.17, ,https://jeltef.github.io/derive_more/derive_more/,https://github.com/JelteF/derive_more
242,wasm-bindgen-shared,v0.2.78,https://rustwasm.github.io/wasm-bindgen/,https://docs.rs/wasm-bindgen-shared,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/shared
243,csv,v1.1.6,https://github.com/BurntSushi/rust-csv,http://burntsushi.net/rustdoc/csv/,https://github.com/BurntSushi/rust-csv
244,core-foundation-sys,v0.8.3,https://github.com/servo/core-foundation-rs, ,https://github.com/servo/core-foundation-rs
245,phf,v0.10.1, , ,https://github.com/sfackler/rust-phf
246,shlex,v1.1.0, , ,https://github.com/comex/rust-shlex
247,webpki,v0.22.0, ,https://briansmith.org/rustdoc/webpki/,https://github.com/briansmith/webpki
248,const_fn,v0.4.9, , ,https://github.com/taiki-e/const_fn
249,sct,v0.7.0,https://github.com/ctz/sct.rs, ,https://github.com/ctz/sct.rs
250,core-foundation,v0.9.2,https://github.com/servo/core-foundation-rs, ,https://github.com/servo/core-foundation-rs
251,safemem,v0.3.3, ,https://docs.rs/safemem,https://github.com/abonander/safemem
252,zeroize,v1.4.3, , ,https://github.com/RustCrypto/utils/tree/master/zeroize
253,tokio-io,v0.1.13,https://tokio.rs/,https://docs.rs/tokio-io/0.1.13/tokio_io,https://github.com/tokio-rs/tokio
254,js-sys,v0.3.55,https://rustwasm.github.io/wasm-bindgen/,https://docs.rs/js-sys,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/js-sys
255,cookie,v0.16.0, ,https://docs.rs/cookie,https://github.com/SergioBenitez/cookie-rs
256,csv-core,v0.1.10,https://github.com/BurntSushi/rust-csv,https://docs.rs/csv-core,https://github.com/BurntSushi/rust-csv
257,tokio-timer,v0.2.13,https://github.com/tokio-rs/tokio,https://docs.rs/tokio-timer/0.2.13/tokio_timer,https://github.com/tokio-rs/tokio
258,maplit,v1.0.2, ,https://docs.rs/maplit/,https://github.com/bluss/maplit
259,lexical-core,v0.8.2, , ,https://github.com/Alexhuszagh/rust-lexical
260,serde_yaml,v0.8.23, ,https://docs.rs/serde_yaml/,https://github.com/dtolnay/serde-yaml
261,tokio-executor,v0.1.10,https://github.com/tokio-rs/tokio,https://docs.rs/tokio-executor/0.1.10/tokio_executor,https://github.com/tokio-rs/tokio
262,tracing-futures,v0.2.5,https://tokio.rs/, ,https://github.com/tokio-rs/tracing
263,rustc-serialize,v0.3.24,https://github.com/rust-lang/rustc-serialize,https://doc.rust-lang.org/rustc-serialize,https://github.com/rust-lang/rustc-serialize
264,arrayref,v0.3.6, ,https://docs.rs/arrayref,https://github.com/droundy/arrayref
265,web-sys,v0.3.55,https://rustwasm.github.io/wasm-bindgen/web-sys/index.html,https://rustwasm.github.io/wasm-bindgen/api/web_sys/,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/web-sys
266,ctor,v0.1.21, , ,https://github.com/mmastrac/rust-ctor
